container,type,length,size,per-element
array_of_float,float[],32768,131088,4.0004883
array_of_float,float[],131072,524304,4.000122
array_of_float,float[],524288,2097168,4.0000305
array_of_float,float[],2097152,8388624,4.0000076
array_of_float,float[],8388608,33554448,4.000002
array_of_boxed_float,java.lang.Float[],32768,655376,20.000488
array_of_boxed_float,java.lang.Float[],131072,2621456,20.000122
array_of_boxed_float,java.lang.Float[],524288,10485776,20.00003
array_of_boxed_float,java.lang.Float[],2097152,41943056,20.000008
array_of_boxed_float,java.lang.Float[],8388608,167772176,20.000002
array_list,java.util.ArrayList,32768,655400,20.00122
array_list,java.util.ArrayList,131072,2621480,20.000305
array_list,java.util.ArrayList,524288,10485800,20.000076
array_list,java.util.ArrayList,2097152,41943080,20.00002
array_list,java.util.ArrayList,8388608,167772200,20.000004
immutable_list,com.google.common.collect.RegularImmutableList,32768,655408,20.001465
immutable_list,com.google.common.collect.RegularImmutableList,131072,2621488,20.000366
immutable_list,com.google.common.collect.RegularImmutableList,524288,10485808,20.000092
immutable_list,com.google.common.collect.RegularImmutableList,2097152,41943088,20.000023
immutable_list,com.google.common.collect.RegularImmutableList,8388608,167772208,20.000006
persistent_vector,clojure.lang.PersistentVector,32768,701896,21.420166
persistent_vector,clojure.lang.PersistentVector,131072,2807656,21.420715
persistent_vector,clojure.lang.PersistentVector,524288,11230024,21.41957
persistent_vector,clojure.lang.PersistentVector,2097152,44919832,21.419445
persistent_vector,clojure.lang.PersistentVector,8388608,179678728,21.419374
persistent_list,clojure.lang.PersistentList,32768,1835008,56.0
persistent_list,clojure.lang.PersistentList,131072,7340032,56.0
persistent_list,clojure.lang.PersistentList,524288,29360128,56.0
persistent_list,clojure.lang.PersistentList,2097152,117440512,56.0
persistent_list,clojure.lang.PersistentList,8388608,469762048,56.0
lazy_sequence,clojure.lang.LazySeq,32768,5824,0.17773438
lazy_sequence,clojure.lang.LazySeq,131072,5824,0.044433594
lazy_sequence,clojure.lang.LazySeq,524288,5824,0.011108398
lazy_sequence,clojure.lang.LazySeq,2097152,5824,0.0027770996
lazy_sequence,clojure.lang.LazySeq,8388608,5824,6.942749E-4
realized,clojure.lang.LazySeq,32768,2621472,80.00098
realized,clojure.lang.LazySeq,131072,10485792,80.000244
realized,clojure.lang.LazySeq,524288,41943072,80.00006
realized,clojure.lang.LazySeq,2097152,167772192,80.000015
realized,clojure.lang.LazySeq,8388608,671088672,80.0
array_of_int,int[],32768,131088,4.0004883
array_of_int,int[],131072,524304,4.000122
array_of_int,int[],524288,2097168,4.0000305
array_of_int,int[],2097152,8388624,4.0000076
array_of_int,int[],8388608,33554448,4.000002
array_of_boxed_int,java.lang.Integer[],32768,593456,18.11084
array_of_boxed_int,java.lang.Integer[],131072,2362320,18.023071
array_of_boxed_int,java.lang.Integer[],524288,9440688,18.006683
array_of_boxed_int,java.lang.Integer[],2097152,37765408,18.00795
array_of_boxed_int,java.lang.Integer[],8388608,151013952,18.002266
array_list,java.util.ArrayList,32768,593032,18.0979
array_list,java.util.ArrayList,131072,2363496,18.032043
array_list,java.util.ArrayList,524288,9435816,17.99739
array_list,java.util.ArrayList,2097152,37759464,18.005116
array_list,java.util.ArrayList,8388608,151021864,18.00321
immutable_list,com.google.common.collect.RegularImmutableList,32768,593344,18.107422
immutable_list,com.google.common.collect.RegularImmutableList,131072,2365072,18.044067
immutable_list,com.google.common.collect.RegularImmutableList,524288,9445184,18.015259
immutable_list,com.google.common.collect.RegularImmutableList,2097152,37749680,18.00045
immutable_list,com.google.common.collect.RegularImmutableList,8388608,151021936,18.003218
persistent_vector,clojure.lang.PersistentVector,32768,640360,19.542236
persistent_vector,clojure.lang.PersistentVector,131072,2552056,19.470642
persistent_vector,clojure.lang.PersistentVector,524288,10186760,19.429703
persistent_vector,clojure.lang.PersistentVector,2097152,40728792,19.421001
persistent_vector,clojure.lang.PersistentVector,8388608,162894664,19.418556
persistent_list,clojure.lang.PersistentList,32768,1774096,54.141113
persistent_list,clojure.lang.PersistentList,131072,7082288,54.03357
persistent_list,clojure.lang.PersistentList,524288,28316752,54.00992
persistent_list,clojure.lang.PersistentList,2097152,113249440,54.00154
persistent_list,clojure.lang.PersistentList,8388608,453004848,54.002388
lazy_sequence,clojure.lang.LazySeq,32768,5816,0.17749023
lazy_sequence,clojure.lang.LazySeq,131072,5816,0.04437256
lazy_sequence,clojure.lang.LazySeq,524288,5816,0.01109314
lazy_sequence,clojure.lang.LazySeq,2097152,5816,0.002773285
lazy_sequence,clojure.lang.LazySeq,8388608,5816,6.933212E-4
realized,clojure.lang.LazySeq,32768,2560320,78.134766
realized,clojure.lang.LazySeq,131072,10225424,78.013794
realized,clojure.lang.LazySeq,524288,40898320,78.007355
realized,clojure.lang.LazySeq,2097152,163588592,78.00512
realized,clojure.lang.LazySeq,8388608,654335360,78.00285
